Words (split by space),anger,disgust,fear,joy,sad,surprise
europe retain trophy with big win,0,0,0,1,0,0
senate votes to revoke pensions,0,0,0,0,1,0
the amounts you have to pay for a bomb scare,0,0,1,0,0,0
pair of satellites will document sun in d,0,0,0,1,0,0
malaysian airasia x to fly in july,0,0,0,1,0,0
dow hits new record eyes,0,0,0,1,0,0
bathing mom awakes to find baby dead,0,0,0,0,1,0
we re a pretty kind bully,0,0,0,1,0,0
women in their s are perfectly good mothers,0,0,0,0,1,0
hands on doomsday clock move forward,0,0,1,0,0,0
italy to hold no show trial of bronx gi in iraq slay,1,0,0,0,0,0
what the godfather of soul meant to me,0,0,0,1,0,0
snow begins heavy accumulations expected,0,0,1,0,0,0
millionaire secret santa dies,0,0,0,0,1,0
martian life could have evaded detection by viking landers,0,0,0,0,0,1
gunman was srebrenica survivor,0,0,0,0,0,1
world tourism sets record in,0,0,0,1,0,0
earthlink ceo dies at age,0,0,0,0,1,0
goal delight for sheva,0,0,0,1,0,0
late penalty costs roma the points,0,0,0,0,1,0
house of cards actor ian richardson dead,0,0,0,0,1,0
even before its release world climate report is criticized as too optimistic,0,0,1,0,0,0
mln birds to be vaccinated from bird flu near moscow,0,0,0,1,0,0
speaker hastert testifies before panel probing sex scandal,0,1,0,0,0,0
we lit our last candle yesterday,0,0,0,0,1,0
putin vows to tackle illegal immigration,1,0,0,0,0,0
mideast summit edns with little progress,0,0,0,0,1,0
deadly bird flu confirmed in british turkeys,0,0,1,0,0,0
an iphone by any other name surely not,0,0,0,0,0,1
will north korea honor pledge this time,0,0,0,1,0,0
nasdaq lse battle nears deadline,0,0,1,0,0,0
combative bush releases parts of terror study,0,0,1,0,0,0
iraq car bombings kill people wound more than,0,0,0,0,1,0
comedian says government silences critics,0,0,0,0,1,0
pamuk wins nobel literature prize,0,0,0,1,0,0
bill gates and craig mundie vista is secure employees are not,0,0,0,0,0,1
psp number one sony platform in japan,0,0,0,1,0,0
at new ozzfest freedom ain t free,0,0,0,0,0,1
ecb holds rates at percent,0,0,0,1,0,0
princess and heir of franz ferdinand fights to repeal a law and gain a castle,0,0,0,1,0,0
eu will urge china to go green,0,0,0,1,0,0
new indonesia calamity a mud bath is man made,1,0,0,0,0,0
tom cruise and katie holmes set wedding date,0,0,0,1,0,0
hatton hands back ibf title again,0,0,0,1,0,0
secret hotels in irish countryside,0,0,0,0,0,1
officers had rapport with alleged abductor,0,1,0,0,0,0
iran and nicaraguan leaders meet,0,0,0,1,0,0
yankee dies in plane crash official says,0,0,0,0,1,0
mickelson sutherland share lead,0,0,0,1,0,0
apple drops bombshell with iphone,0,0,0,0,0,1
iran to strike us interests if attacked,0,0,1,0,0,0
dr mcdreamy choked in grey s scuffle,0,0,0,0,1,0
gunmen abduct filipino woman in nigeria,0,0,1,0,0,0
escape to prague without the summer hordes,0,0,0,1,0,0
confusion reigns in the expanding digital world,0,0,0,0,0,1
alaska s northern lights captivate japanese,0,0,0,1,0,0
riot warning for france suburbs,0,0,0,0,1,0
hussein s niece pleads for father s life,0,0,0,0,1,0
nadal wants australian open crown,0,0,0,1,0,0
blog here come the globes,0,0,0,1,0,0
dispute over iraqi cleric said to have gone to iran,1,0,0,0,0,0
thai govt moves to smooth over relations with south,0,0,0,1,0,0
rwanda mulls three child limit,0,0,0,0,0,1
beware of peanut butter pathogens,0,0,1,0,0,0
celebrities protest malibu gas facility,0,0,0,1,0,0
freed muslim terror suspect says britain is police state,0,0,1,0,0,0
